朝楼,瘤痢,碍荐樊(mm)
2002-01-01,面巢,0.1
2002-01-02,面巢,0
2002-01-03,面巢,0
2002-01-04,面巢,0
2002-01-05,面巢,0
2002-01-06,面巢,0
2002-01-07,面巢,4.6
2002-01-08,面巢,0.5
2002-01-09,面巢,0
2002-01-10,面巢,0
2002-01-11,面巢,0
2002-01-12,面巢,0
2002-01-13,面巢,0
2002-01-14,面巢,0.8
2002-01-15,面巢,21.2
2002-01-16,面巢,9.7
2002-01-17,面巢,0.8
2002-01-18,面巢,0
2002-01-19,面巢,0
2002-01-20,面巢,7.3
2002-01-21,面巢,2.5
2002-01-22,面巢,0.1
2002-01-23,面巢,0
2002-01-24,面巢,0
2002-01-25,面巢,0
2002-01-26,面巢,4.8
2002-01-27,面巢,0.1
2002-01-28,面巢,0
2002-01-29,面巢,0
2002-01-30,面巢,0
2002-01-31,面巢,0
2002-02-01,面巢,0
2002-02-02,面巢,0
2002-02-03,面巢,0
2002-02-04,面巢,0
2002-02-05,面巢,0
2002-02-06,面巢,0
2002-02-07,面巢,0
2002-02-08,面巢,0
2002-02-09,面巢,0
2002-02-10,面巢,1
2002-02-11,面巢,1.6
2002-02-12,面巢,0
2002-02-13,面巢,0
2002-02-14,面巢,0
2002-02-15,面巢,0
2002-02-16,面巢,0
2002-02-17,面巢,0
2002-02-18,面巢,0
2002-02-19,面巢,0
2002-02-20,面巢,0
2002-02-21,面巢,3.8
2002-02-22,面巢,0
2002-02-23,面巢,0
2002-02-24,面巢,0
2002-02-25,面巢,0
2002-02-26,面巢,0
2002-02-27,面巢,0
2002-02-28,面巢,0
2002-03-01,面巢,0
2002-03-02,面巢,0
2002-03-03,面巢,0
2002-03-04,面巢,0
2002-03-05,面巢,5
2002-03-06,面巢,2
2002-03-07,面巢,0
2002-03-08,面巢,0
2002-03-09,面巢,0
2002-03-10,面巢,2.4
2002-03-11,面巢,0
2002-03-12,面巢,0
2002-03-13,面巢,0
2002-03-14,面巢,5
2002-03-15,面巢,0.1
2002-03-16,面巢,0
2002-03-17,面巢,0
2002-03-18,面巢,0
2002-03-19,面巢,0
2002-03-20,面巢,0
2002-03-21,面巢,11.8
2002-03-22,面巢,4
2002-03-23,面巢,0
2002-03-24,面巢,0
2002-03-25,面巢,0
2002-03-26,面巢,0
2002-03-27,面巢,0
2002-03-28,面巢,0
2002-03-29,面巢,0.1
2002-03-30,面巢,3.8
2002-03-31,面巢,0.1
2002-04-01,面巢,0
2002-04-02,面巢,0
2002-04-03,面巢,0
2002-04-04,面巢,0
2002-04-05,面巢,3.2
2002-04-06,面巢,15.9
2002-04-07,面巢,0
2002-04-08,面巢,0
2002-04-09,面巢,0
2002-04-10,面巢,0
2002-04-11,面巢,0
2002-04-12,面巢,1.9
2002-04-13,面巢,0
2002-04-14,面巢,0
2002-04-15,面巢,7.2
2002-04-16,面巢,53.8
2002-04-17,面巢,0
2002-04-18,面巢,0
2002-04-19,面巢,0
2002-04-20,面巢,0
2002-04-21,面巢,0
2002-04-22,面巢,0
2002-04-23,面巢,0
2002-04-24,面巢,0
2002-04-25,面巢,0
2002-04-26,面巢,0
2002-04-27,面巢,0
2002-04-28,面巢,0
2002-04-29,面巢,14.9
2002-04-30,面巢,56.8
2002-05-01,面巢,0.4
2002-05-02,面巢,2.3
2002-05-03,面巢,18.5
2002-05-04,面巢,0.4
2002-05-05,面巢,0
2002-05-06,面巢,27.9
2002-05-07,面巢,68.8
2002-05-08,面巢,0.2
2002-05-09,面巢,0
2002-05-10,面巢,0
2002-05-11,面巢,0
2002-05-12,面巢,0
2002-05-13,面巢,0
2002-05-14,面巢,1.1
2002-05-15,面巢,13.4
2002-05-16,面巢,1.6
2002-05-17,面巢,5
2002-05-18,面巢,2.4
2002-05-19,面巢,0
2002-05-20,面巢,0
2002-05-21,面巢,0
2002-05-22,面巢,0.4
2002-05-23,面巢,0
2002-05-24,面巢,0
2002-05-25,面巢,0
2002-05-26,面巢,0
2002-05-27,面巢,0
2002-05-28,面巢,0
2002-05-29,面巢,0
2002-05-30,面巢,2.2
2002-05-31,面巢,0.1
2002-06-01,面巢,0.2
2002-06-02,面巢,0
2002-06-03,面巢,0
2002-06-04,面巢,0.5
2002-06-05,面巢,0
2002-06-06,面巢,0
2002-06-07,面巢,0
2002-06-08,面巢,0
2002-06-09,面巢,0
2002-06-10,面巢,33.8
2002-06-11,面巢,2.1
2002-06-12,面巢,1.4
2002-06-13,面巢,0
2002-06-14,面巢,0
2002-06-15,面巢,0.7
2002-06-16,面巢,0
2002-06-17,面巢,0.1
2002-06-18,面巢,0
2002-06-19,面巢,0
2002-06-20,面巢,0
2002-06-21,面巢,0
2002-06-22,面巢,0
2002-06-23,面巢,11.7
2002-06-24,面巢,10.5
2002-06-25,面巢,0
2002-06-26,面巢,0
2002-06-27,面巢,0
2002-06-28,面巢,0
2002-06-29,面巢,0
2002-06-30,面巢,1.8
2002-07-01,面巢,12.8
2002-07-02,面巢,0.3
2002-07-03,面巢,0
2002-07-04,面巢,1.3
2002-07-05,面巢,45.5
2002-07-06,面巢,19.7
2002-07-07,面巢,0
2002-07-08,面巢,1
2002-07-09,面巢,1
2002-07-10,面巢,0
2002-07-11,面巢,0
2002-07-12,面巢,0
2002-07-13,面巢,0.1
2002-07-14,面巢,7.6
2002-07-15,面巢,0
2002-07-16,面巢,0
2002-07-17,面巢,0
2002-07-18,面巢,0
2002-07-19,面巢,54.1
2002-07-20,面巢,0.3
2002-07-21,面巢,0.5
2002-07-22,面巢,53
2002-07-23,面巢,19.8
2002-07-24,面巢,0
2002-07-25,面巢,0
2002-07-26,面巢,0.6
2002-07-27,面巢,0
2002-07-28,面巢,0
2002-07-29,面巢,0.2
2002-07-30,面巢,0.3
2002-07-31,面巢,0
2002-08-01,面巢,0
2002-08-02,面巢,0
2002-08-03,面巢,0.9
2002-08-04,面巢,0.4
2002-08-05,面巢,0.6
2002-08-06,面巢,136.7
2002-08-07,面巢,103.8
2002-08-08,面巢,3.9
2002-08-09,面巢,0.5
2002-08-10,面巢,32.9
2002-08-11,面巢,6.2
2002-08-12,面巢,9.1
2002-08-13,面巢,9.4
2002-08-14,面巢,12.8
2002-08-15,面巢,8.3
2002-08-16,面巢,2.1
2002-08-17,面巢,10.9
2002-08-18,面巢,0.5
2002-08-19,面巢,0.1
2002-08-20,面巢,0.8
2002-08-21,面巢,0
2002-08-22,面巢,17
2002-08-23,面巢,5.2
2002-08-24,面巢,0
2002-08-25,面巢,2.1
2002-08-26,面巢,0.8
2002-08-27,面巢,18.5
2002-08-28,面巢,1.2
2002-08-29,面巢,0
2002-08-30,面巢,1.3
2002-08-31,面巢,73.1
2002-09-01,面巢,10.8
2002-09-02,面巢,0
2002-09-03,面巢,0
2002-09-04,面巢,0
2002-09-05,面巢,1.6
2002-09-06,面巢,0
2002-09-07,面巢,0
2002-09-08,面巢,0
2002-09-09,面巢,0
2002-09-10,面巢,0
2002-09-11,面巢,0
2002-09-12,面巢,0
2002-09-13,面巢,0
2002-09-14,面巢,0.2
2002-09-15,面巢,15.8
2002-09-16,面巢,8.3
2002-09-17,面巢,0.1
2002-09-18,面巢,0
2002-09-19,面巢,0
2002-09-20,面巢,0
2002-09-21,面巢,0
2002-09-22,面巢,3.7
2002-09-23,面巢,3.2
2002-09-24,面巢,0
2002-09-25,面巢,0
2002-09-26,面巢,0
2002-09-27,面巢,0
2002-09-28,面巢,5.4
2002-09-29,面巢,10.2
2002-09-30,面巢,0.2
2002-10-01,面巢,0
2002-10-02,面巢,5.6
2002-10-03,面巢,0
2002-10-04,面巢,0
2002-10-05,面巢,34.8
2002-10-06,面巢,17.5
2002-10-07,面巢,0.9
2002-10-08,面巢,0
2002-10-09,面巢,0
2002-10-10,面巢,0
2002-10-11,面巢,0
2002-10-12,面巢,0
2002-10-13,面巢,0
2002-10-14,面巢,0
2002-10-15,面巢,11.1
2002-10-16,面巢,0
2002-10-17,面巢,0
2002-10-18,面巢,4.4
2002-10-19,面巢,0
2002-10-20,面巢,0.3
2002-10-21,面巢,0.3
2002-10-22,面巢,0
2002-10-23,面巢,0
2002-10-24,面巢,1.2
2002-10-25,面巢,0.1
2002-10-26,面巢,10.5
2002-10-27,面巢,0.8
2002-10-28,面巢,0.1
2002-10-29,面巢,0
2002-10-30,面巢,0
2002-10-31,面巢,0
2002-11-01,面巢,0
2002-11-02,面巢,3.3
