날짜,지점,강수량(mm)
2002-01-01,경남,0.1
2002-01-02,경남,0
2002-01-03,경남,0
2002-01-04,경남,0
2002-01-05,경남,0
2002-01-06,경남,0
2002-01-07,경남,1.4
2002-01-08,경남,0
2002-01-09,경남,0
2002-01-10,경남,0
2002-01-11,경남,0
2002-01-12,경남,0
2002-01-13,경남,0
2002-01-14,경남,0.5
2002-01-15,경남,19.6
2002-01-16,경남,17.4
2002-01-17,경남,2.5
2002-01-18,경남,0.1
2002-01-19,경남,0
2002-01-20,경남,0.2
2002-01-21,경남,0.1
2002-01-22,경남,0.2
2002-01-23,경남,0
2002-01-24,경남,0
2002-01-25,경남,0
2002-01-26,경남,13.5
2002-01-27,경남,0
2002-01-28,경남,0
2002-01-29,경남,0
2002-01-30,경남,0
2002-01-31,경남,0
2002-02-01,경남,0
2002-02-02,경남,0
2002-02-03,경남,0
2002-02-04,경남,0
2002-02-05,경남,0
2002-02-06,경남,0
2002-02-07,경남,0
2002-02-08,경남,0
2002-02-09,경남,0
2002-02-10,경남,0.2
2002-02-11,경남,0.1
2002-02-12,경남,0
2002-02-13,경남,0
2002-02-14,경남,0
2002-02-15,경남,0
2002-02-16,경남,0
2002-02-17,경남,0
2002-02-18,경남,0
2002-02-19,경남,0
2002-02-20,경남,0
2002-02-21,경남,5.9
2002-02-22,경남,0
2002-02-23,경남,0
2002-02-24,경남,0
2002-02-25,경남,0
2002-02-26,경남,0
2002-02-27,경남,1.2
2002-02-28,경남,0.2
2002-03-01,경남,0
2002-03-02,경남,0
2002-03-03,경남,0
2002-03-04,경남,0
2002-03-05,경남,12.6
2002-03-06,경남,0.2
2002-03-07,경남,0
2002-03-08,경남,0
2002-03-09,경남,0
2002-03-10,경남,0.4
2002-03-11,경남,0
2002-03-12,경남,0
2002-03-13,경남,0
2002-03-14,경남,32.4
2002-03-15,경남,0.2
2002-03-16,경남,0
2002-03-17,경남,0
2002-03-18,경남,0
2002-03-19,경남,0
2002-03-20,경남,0
2002-03-21,경남,14
2002-03-22,경남,0.2
2002-03-23,경남,0
2002-03-24,경남,0
2002-03-25,경남,0
2002-03-26,경남,0.2
2002-03-27,경남,0
2002-03-28,경남,0.3
2002-03-29,경남,26.9
2002-03-30,경남,0.1
2002-03-31,경남,0
2002-04-01,경남,0
2002-04-02,경남,0
2002-04-03,경남,0
2002-04-04,경남,0
2002-04-05,경남,0.1
2002-04-06,경남,43.1
2002-04-07,경남,0
2002-04-08,경남,0
2002-04-09,경남,0
2002-04-10,경남,0
2002-04-11,경남,0
2002-04-12,경남,0
2002-04-13,경남,0
2002-04-14,경남,0.4
2002-04-15,경남,22.5
2002-04-16,경남,41.3
2002-04-17,경남,0
2002-04-18,경남,0
2002-04-19,경남,0
2002-04-20,경남,0
2002-04-21,경남,0.2
2002-04-22,경남,0
2002-04-23,경남,34.4
2002-04-24,경남,0
2002-04-25,경남,0
2002-04-26,경남,0
2002-04-27,경남,0
2002-04-28,경남,0
2002-04-29,경남,2.7
2002-04-30,경남,15.1
2002-05-01,경남,5
2002-05-02,경남,0
2002-05-03,경남,30
2002-05-04,경남,1.6
2002-05-05,경남,0
2002-05-06,경남,8.9
2002-05-07,경남,38.1
2002-05-08,경남,0.5
2002-05-09,경남,0
2002-05-10,경남,0
2002-05-11,경남,0
2002-05-12,경남,0
2002-05-13,경남,0
2002-05-14,경남,3.4
2002-05-15,경남,31
2002-05-16,경남,7
2002-05-17,경남,1.8
2002-05-18,경남,4.6
2002-05-19,경남,2.1
2002-05-20,경남,0
2002-05-21,경남,0
2002-05-22,경남,1.6
2002-05-23,경남,0
2002-05-24,경남,0
2002-05-25,경남,0
2002-05-26,경남,0
2002-05-27,경남,0
2002-05-28,경남,0.1
2002-05-29,경남,0
2002-05-30,경남,0
2002-05-31,경남,0
2002-06-01,경남,0
2002-06-02,경남,12.8
2002-06-03,경남,0
2002-06-04,경남,0
2002-06-05,경남,0
2002-06-06,경남,0
2002-06-07,경남,0
2002-06-08,경남,0
2002-06-09,경남,0
2002-06-10,경남,7.4
2002-06-11,경남,12.3
2002-06-12,경남,0
2002-06-13,경남,0.4
2002-06-14,경남,0
2002-06-15,경남,0.1
2002-06-16,경남,0.6
2002-06-17,경남,0
2002-06-18,경남,0
2002-06-19,경남,0.9
2002-06-20,경남,0.7
2002-06-21,경남,0
2002-06-22,경남,0
2002-06-23,경남,5.9
2002-06-24,경남,42.8
2002-06-25,경남,0.1
2002-06-26,경남,0
2002-06-27,경남,0
2002-06-28,경남,0
2002-06-29,경남,0
2002-06-30,경남,8.1
2002-07-01,경남,2.5
2002-07-02,경남,18.1
2002-07-03,경남,0.2
2002-07-04,경남,0.1
2002-07-05,경남,123.1
2002-07-06,경남,13.1
2002-07-07,경남,0
2002-07-08,경남,8.6
2002-07-09,경남,3.6
2002-07-10,경남,0.1
2002-07-11,경남,0.1
2002-07-12,경남,0
2002-07-13,경남,12.4
2002-07-14,경남,3.9
2002-07-15,경남,7.1
2002-07-16,경남,0
2002-07-17,경남,0
2002-07-18,경남,0.4
2002-07-19,경남,50.8
2002-07-20,경남,5.8
2002-07-21,경남,60.8
2002-07-22,경남,1.2
2002-07-23,경남,0.2
2002-07-24,경남,0
2002-07-25,경남,0
2002-07-26,경남,5.9
2002-07-27,경남,0
2002-07-28,경남,0
2002-07-29,경남,0
2002-07-30,경남,0
2002-07-31,경남,0
2002-08-01,경남,0
2002-08-02,경남,0
2002-08-03,경남,0
2002-08-04,경남,0
2002-08-05,경남,0.4
2002-08-06,경남,45.3
2002-08-07,경남,76.1
2002-08-08,경남,76.4
2002-08-09,경남,78.7
2002-08-10,경남,59.6
2002-08-11,경남,38.6
2002-08-12,경남,43.9
2002-08-13,경남,24.2
2002-08-14,경남,39.9
2002-08-15,경남,35.6
2002-08-16,경남,2.8
2002-08-17,경남,0
2002-08-18,경남,0
2002-08-19,경남,0
2002-08-20,경남,0.7
2002-08-21,경남,0
2002-08-22,경남,1.1
2002-08-23,경남,0.9
2002-08-24,경남,0
2002-08-25,경남,0
2002-08-26,경남,0.6
2002-08-27,경남,5.7
2002-08-28,경남,7.3
2002-08-29,경남,0
2002-08-30,경남,15.3
2002-08-31,경남,195
2002-09-01,경남,1.6
2002-09-02,경남,0
2002-09-03,경남,0
2002-09-04,경남,0
2002-09-05,경남,17.4
2002-09-06,경남,0.6
2002-09-07,경남,0
2002-09-08,경남,0
2002-09-09,경남,0
2002-09-10,경남,0
2002-09-11,경남,0
2002-09-12,경남,1.2
2002-09-13,경남,2.3
2002-09-14,경남,0.4
2002-09-15,경남,35.3
2002-09-16,경남,59.8
2002-09-17,경남,0
2002-09-18,경남,0
2002-09-19,경남,0
2002-09-20,경남,0
2002-09-21,경남,0
2002-09-22,경남,2.9
2002-09-23,경남,0
2002-09-24,경남,0
2002-09-25,경남,0
2002-09-26,경남,0
2002-09-27,경남,0
2002-09-28,경남,0.1
2002-09-29,경남,4.3
2002-09-30,경남,0
2002-10-01,경남,0.4
2002-10-02,경남,0
2002-10-03,경남,2
2002-10-04,경남,0
2002-10-05,경남,0
2002-10-06,경남,27.3
2002-10-07,경남,0
2002-10-08,경남,0
2002-10-09,경남,0
2002-10-10,경남,0
2002-10-11,경남,0
2002-10-12,경남,0
2002-10-13,경남,0
2002-10-14,경남,0
2002-10-15,경남,4.6
2002-10-16,경남,0
2002-10-17,경남,0
2002-10-18,경남,6.3
2002-10-19,경남,12.4
2002-10-20,경남,7.2
2002-10-21,경남,0.1
2002-10-22,경남,0
2002-10-23,경남,0
2002-10-24,경남,0
2002-10-25,경남,0
2002-10-26,경남,1.4
2002-10-27,경남,0
2002-10-28,경남,0
2002-10-29,경남,0
2002-10-30,경남,0
2002-10-31,경남,1.6
2002-11-01,경남,0.3
2002-11-02,경남,0
2002-11-03,경남,2.1
2002-11-04,경남,0
2002-11-05,경남,0
