날짜,지점,강수량(mm)
2002-01-01,서울경기,0
2002-01-02,서울경기,0
2002-01-03,서울경기,0
2002-01-04,서울경기,0
2002-01-05,서울경기,0
2002-01-06,서울경기,0
2002-01-07,서울경기,3
2002-01-08,서울경기,0
2002-01-09,서울경기,0
2002-01-10,서울경기,0
2002-01-11,서울경기,0
2002-01-12,서울경기,0
2002-01-13,서울경기,0
2002-01-14,서울경기,5.6
2002-01-15,서울경기,19.3
2002-01-16,서울경기,7.9
2002-01-17,서울경기,3.1
2002-01-18,서울경기,0
2002-01-19,서울경기,0
2002-01-20,서울경기,5.7
2002-01-21,서울경기,2.2
2002-01-22,서울경기,0
2002-01-23,서울경기,0
2002-01-24,서울경기,0
2002-01-25,서울경기,0
2002-01-26,서울경기,0.6
2002-01-27,서울경기,0
2002-01-28,서울경기,0
2002-01-29,서울경기,0.2
2002-01-30,서울경기,0
2002-01-31,서울경기,0
2002-02-01,서울경기,0
2002-02-02,서울경기,0
2002-02-03,서울경기,0
2002-02-04,서울경기,0
2002-02-05,서울경기,0
2002-02-06,서울경기,0
2002-02-07,서울경기,0
2002-02-08,서울경기,0
2002-02-09,서울경기,0
2002-02-10,서울경기,0.1
2002-02-11,서울경기,0.3
2002-02-12,서울경기,0
2002-02-13,서울경기,0
2002-02-14,서울경기,0
2002-02-15,서울경기,0
2002-02-16,서울경기,0
2002-02-17,서울경기,0.9
2002-02-18,서울경기,0
2002-02-19,서울경기,0
2002-02-20,서울경기,0
2002-02-21,서울경기,1.3
2002-02-22,서울경기,0
2002-02-23,서울경기,0
2002-02-24,서울경기,0
2002-02-25,서울경기,0
2002-02-26,서울경기,0
2002-02-27,서울경기,0
2002-02-28,서울경기,0
2002-03-01,서울경기,0
2002-03-02,서울경기,0
2002-03-03,서울경기,0
2002-03-04,서울경기,0
2002-03-05,서울경기,0.8
2002-03-06,서울경기,1.8
2002-03-07,서울경기,0
2002-03-08,서울경기,0
2002-03-09,서울경기,0
2002-03-10,서울경기,1.3
2002-03-11,서울경기,0
2002-03-12,서울경기,0
2002-03-13,서울경기,0
2002-03-14,서울경기,0.1
2002-03-15,서울경기,0.5
2002-03-16,서울경기,0
2002-03-17,서울경기,0
2002-03-18,서울경기,0
2002-03-19,서울경기,0
2002-03-20,서울경기,0.9
2002-03-21,서울경기,14.4
2002-03-22,서울경기,0
2002-03-23,서울경기,0
2002-03-24,서울경기,0
2002-03-25,서울경기,0
2002-03-26,서울경기,0
2002-03-27,서울경기,0
2002-03-28,서울경기,0
2002-03-29,서울경기,0
2002-03-30,서울경기,12.1
2002-03-31,서울경기,0
2002-04-01,서울경기,0
2002-04-02,서울경기,0
2002-04-03,서울경기,0
2002-04-04,서울경기,0
2002-04-05,서울경기,1.9
2002-04-06,서울경기,23.3
2002-04-07,서울경기,0
2002-04-08,서울경기,0
2002-04-09,서울경기,0
2002-04-10,서울경기,0
2002-04-11,서울경기,0
2002-04-12,서울경기,6.1
2002-04-13,서울경기,0
2002-04-14,서울경기,0
2002-04-15,서울경기,0.3
2002-04-16,서울경기,22.9
2002-04-17,서울경기,0
2002-04-18,서울경기,0
2002-04-19,서울경기,0
2002-04-20,서울경기,0
2002-04-21,서울경기,0
2002-04-22,서울경기,0
2002-04-23,서울경기,0
2002-04-24,서울경기,0
2002-04-25,서울경기,0
2002-04-26,서울경기,0
2002-04-27,서울경기,0
2002-04-28,서울경기,0
2002-04-29,서울경기,73
2002-04-30,서울경기,25.9
2002-05-01,서울경기,0
2002-05-02,서울경기,2.7
2002-05-03,서울경기,7.6
2002-05-04,서울경기,0
2002-05-05,서울경기,0
2002-05-06,서울경기,6
2002-05-07,서울경기,30.8
2002-05-08,서울경기,0
2002-05-09,서울경기,0
2002-05-10,서울경기,0
2002-05-11,서울경기,0
2002-05-12,서울경기,0
2002-05-13,서울경기,0
2002-05-14,서울경기,0
2002-05-15,서울경기,7.5
2002-05-16,서울경기,3.9
2002-05-17,서울경기,2.6
2002-05-18,서울경기,0
2002-05-19,서울경기,0
2002-05-20,서울경기,0
2002-05-21,서울경기,0
2002-05-22,서울경기,0
2002-05-23,서울경기,0
2002-05-24,서울경기,0
2002-05-25,서울경기,0
2002-05-26,서울경기,0
2002-05-27,서울경기,0
2002-05-28,서울경기,0
2002-05-29,서울경기,0
2002-05-30,서울경기,1.4
2002-05-31,서울경기,1.3
2002-06-01,서울경기,0.4
2002-06-02,서울경기,0
2002-06-03,서울경기,0
2002-06-04,서울경기,0.4
2002-06-05,서울경기,0
2002-06-06,서울경기,0
2002-06-07,서울경기,0
2002-06-08,서울경기,0
2002-06-09,서울경기,0
2002-06-10,서울경기,26.4
2002-06-11,서울경기,0.1
2002-06-12,서울경기,6.8
2002-06-13,서울경기,0
2002-06-14,서울경기,0
2002-06-15,서울경기,0.1
2002-06-16,서울경기,0
2002-06-17,서울경기,0
2002-06-18,서울경기,0
2002-06-19,서울경기,7.1
2002-06-20,서울경기,8.5
2002-06-21,서울경기,0
2002-06-22,서울경기,0
2002-06-23,서울경기,2.9
2002-06-24,서울경기,6.5
2002-06-25,서울경기,0
2002-06-26,서울경기,0
2002-06-27,서울경기,0
2002-06-28,서울경기,0
2002-06-29,서울경기,0
2002-06-30,서울경기,0.1
2002-07-01,서울경기,0.5
2002-07-02,서울경기,3.9
2002-07-03,서울경기,0
2002-07-04,서울경기,0
2002-07-05,서울경기,46.3
2002-07-06,서울경기,40
2002-07-07,서울경기,2.8
2002-07-08,서울경기,0
2002-07-09,서울경기,0
2002-07-10,서울경기,0
2002-07-11,서울경기,0
2002-07-12,서울경기,0
2002-07-13,서울경기,2.3
2002-07-14,서울경기,18.5
2002-07-15,서울경기,0.3
2002-07-16,서울경기,0
2002-07-17,서울경기,0
2002-07-18,서울경기,0
2002-07-19,서울경기,39.5
2002-07-20,서울경기,0.1
2002-07-21,서울경기,0.3
2002-07-22,서울경기,19.7
2002-07-23,서울경기,39.5
2002-07-24,서울경기,11.4
2002-07-25,서울경기,0
2002-07-26,서울경기,0
2002-07-27,서울경기,0
2002-07-28,서울경기,0
2002-07-29,서울경기,0.8
2002-07-30,서울경기,0.3
2002-07-31,서울경기,0
2002-08-01,서울경기,0.2
2002-08-02,서울경기,0.2
2002-08-03,서울경기,12.4
2002-08-04,서울경기,57.8
2002-08-05,서울경기,22.3
2002-08-06,서울경기,115.3
2002-08-07,서울경기,130.8
2002-08-08,서울경기,0.3
2002-08-09,서울경기,1.1
2002-08-10,서울경기,11.9
2002-08-11,서울경기,2.9
2002-08-12,서울경기,3.4
2002-08-13,서울경기,0
2002-08-14,서울경기,0.5
2002-08-15,서울경기,0
2002-08-16,서울경기,0.1
2002-08-17,서울경기,8.1
2002-08-18,서울경기,7
2002-08-19,서울경기,5.7
2002-08-20,서울경기,0
2002-08-21,서울경기,0
2002-08-22,서울경기,8.9
2002-08-23,서울경기,12
2002-08-24,서울경기,0
2002-08-25,서울경기,0
2002-08-26,서울경기,3.3
2002-08-27,서울경기,48.9
2002-08-28,서울경기,0
2002-08-29,서울경기,0
2002-08-30,서울경기,0.9
2002-08-31,서울경기,45.3
2002-09-01,서울경기,14.1
2002-09-02,서울경기,0
2002-09-03,서울경기,0
2002-09-04,서울경기,0
2002-09-05,서울경기,1
2002-09-06,서울경기,0
2002-09-07,서울경기,0
2002-09-08,서울경기,0
2002-09-09,서울경기,0
2002-09-10,서울경기,0
2002-09-11,서울경기,0
2002-09-12,서울경기,0.2
2002-09-13,서울경기,0
2002-09-14,서울경기,1.4
2002-09-15,서울경기,1.3
2002-09-16,서울경기,0.4
2002-09-17,서울경기,0
2002-09-18,서울경기,0
2002-09-19,서울경기,0
2002-09-20,서울경기,0
2002-09-21,서울경기,3.1
2002-09-22,서울경기,0
2002-09-23,서울경기,0
2002-09-24,서울경기,0
2002-09-25,서울경기,0
2002-09-26,서울경기,0
2002-09-27,서울경기,0
2002-09-28,서울경기,7.9
2002-09-29,서울경기,9.5
2002-09-30,서울경기,0.2
2002-10-01,서울경기,0
2002-10-02,서울경기,5.8
2002-10-03,서울경기,0.5
2002-10-04,서울경기,0
2002-10-05,서울경기,6.1
2002-10-06,서울경기,7.8
2002-10-07,서울경기,0
2002-10-08,서울경기,0
