날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2002-01-01,서울경기,-4.7,-7.2,0.4
2002-01-02,서울경기,-9.4,-12,-6.6
2002-01-03,서울경기,-6.5,-12.9,-1.4
2002-01-04,서울경기,1.6,-3.4,6.1
2002-01-05,서울경기,-1.1,-4.9,2
2002-01-06,서울경기,-0.6,-7,5.3
2002-01-07,서울경기,-2.6,-6.8,3.7
2002-01-08,서울경기,-6.4,-7.9,-3.8
2002-01-09,서울경기,-3.8,-9.6,0.7
2002-01-10,서울경기,2.7,-1.5,5.9
2002-01-11,서울경기,2.4,-1.3,7.4
2002-01-12,서울경기,3.8,-1.3,9.5
2002-01-13,서울경기,6.8,2.1,10.9
2002-01-14,서울경기,10.1,5.9,14.3
2002-01-15,서울경기,11.1,9.5,13.1
2002-01-16,서울경기,6.4,3,10.7
2002-01-17,서울경기,2.2,0.2,4.9
2002-01-18,서울경기,1.4,-1.8,6
2002-01-19,서울경기,3.4,-0.1,9.4
2002-01-20,서울경기,1.2,-0.6,3.6
2002-01-21,서울경기,-0.6,-3,2
2002-01-22,서울경기,-4.4,-5.9,-2.2
2002-01-23,서울경기,-4.1,-6.5,-0.7
2002-01-24,서울경기,-3.3,-6.9,0.9
2002-01-25,서울경기,-3,-8.5,2.7
2002-01-26,서울경기,0.5,-3.5,3.7
2002-01-27,서울경기,-0.7,-4,1.5
2002-01-28,서울경기,-3.1,-5.4,0.3
2002-01-29,서울경기,-1.7,-6.6,2.8
2002-01-30,서울경기,-0.8,-3.5,2.2
2002-01-31,서울경기,-2.4,-6.4,1.6
2002-02-01,서울경기,0.7,-5.5,5.9
2002-02-02,서울경기,2.8,-0.9,8.2
2002-02-03,서울경기,2.1,-3.6,9
2002-02-04,서울경기,2.1,-2.3,8
2002-02-05,서울경기,3.3,-1.9,8.5
2002-02-06,서울경기,4.6,1.5,8.4
2002-02-07,서울경기,3.1,-0.9,8.3
2002-02-08,서울경기,0.8,-3.9,4.9
2002-02-09,서울경기,-2.3,-5.7,1
2002-02-10,서울경기,-1.3,-4.8,2.4
2002-02-11,서울경기,-2.4,-6.7,3.2
2002-02-12,서울경기,-1.7,-6.3,2.3
2002-02-13,서울경기,-0.4,-5.1,4.1
2002-02-14,서울경기,0.2,-5.2,5.8
2002-02-15,서울경기,0.4,-5.1,6.3
2002-02-16,서울경기,2,-2.7,6.1
2002-02-17,서울경기,1.8,-2,5.8
2002-02-18,서울경기,-2.1,-5.1,2
2002-02-19,서울경기,-1.3,-5.7,3.7
2002-02-20,서울경기,1.7,-5,8.1
2002-02-21,서울경기,2.4,-0.7,5.1
2002-02-22,서울경기,4.1,1.4,8.7
2002-02-23,서울경기,4,0.2,9.3
2002-02-24,서울경기,4.4,-1.9,11.3
2002-02-25,서울경기,4.1,1,8.2
2002-02-26,서울경기,4.9,0.9,10.3
2002-02-27,서울경기,5.2,2.2,9.8
2002-02-28,서울경기,4.1,0.8,9.1
2002-03-01,서울경기,4.3,-0.3,12.5
2002-03-02,서울경기,5.2,0.6,11.1
2002-03-03,서울경기,3.2,-0.7,9.1
2002-03-04,서울경기,3,-2.8,8.2
2002-03-05,서울경기,3,1.1,5.6
2002-03-06,서울경기,1.6,-1.2,4.8
2002-03-07,서울경기,0.8,-3.9,5.2
2002-03-08,서울경기,3.1,-2.7,8.6
2002-03-09,서울경기,8.5,0.7,14.4
2002-03-10,서울경기,8.3,4.1,13.1
2002-03-11,서울경기,6,0.8,11.3
2002-03-12,서울경기,7.4,2,14.1
2002-03-13,서울경기,9.6,3.9,17.7
2002-03-14,서울경기,10,5.9,15.5
2002-03-15,서울경기,8,4.8,12.1
2002-03-16,서울경기,7.7,1.5,13.8
2002-03-17,서울경기,8.7,4.2,14.1
2002-03-18,서울경기,7,3.6,11.9
2002-03-19,서울경기,7.9,3.2,14.1
2002-03-20,서울경기,10.8,1.8,17.7
2002-03-21,서울경기,7,5,12.2
2002-03-22,서울경기,6.6,4,9.6
2002-03-23,서울경기,4.9,1.8,9.3
2002-03-24,서울경기,5.1,0.9,9.2
2002-03-25,서울경기,6.8,1.2,12
2002-03-26,서울경기,8.2,3.2,12.7
2002-03-27,서울경기,10.2,5.3,15.9
2002-03-28,서울경기,10.5,3.7,16.6
2002-03-29,서울경기,11.1,6.8,17.1
2002-03-30,서울경기,7.6,4.9,10.8
2002-03-31,서울경기,8.9,6.6,13.1
2002-04-01,서울경기,11.8,5.7,18.3
2002-04-02,서울경기,14.2,6.6,22
2002-04-03,서울경기,14.9,8.6,21.5
2002-04-04,서울경기,13.8,7.1,21.1
2002-04-05,서울경기,16.6,8.3,25.1
