지역번호,지역명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속지점,최대순간풍속(m/s),최대순간풍속지점
1,서울경기,2022-12-31,1.1,6.9,백령도,9.8,백령도
1,서울경기,2022-12-30,1.4,5.3,백령도,7.6,백령도
1,서울경기,2022-12-29,1.2,7.1,백령도,11,백령도
1,서울경기,2022-12-28,2,10.5,백령도,17.1,백령도
1,서울경기,2022-12-27,1.1,9.8,백령도,15.5,백령도
1,서울경기,2022-12-26,1,8,백령도,11.4,백령도
1,서울경기,2022-12-25,1.1,11.6,백령도,15.7,백령도
1,서울경기,2022-12-24,1.3,13.1,백령도,20,백령도
1,서울경기,2022-12-23,3.7,16.8,백령도,24,백령도
1,서울경기,2022-12-22,3.9,17,백령도,24.3,백령도
1,서울경기,2022-12-21,1.7,12.8,백령도,17.7,백령도
1,서울경기,2022-12-20,1.4,11,백령도,18.2,백령도
1,서울경기,2022-12-19,1.3,10.6,백령도,16.5,백령도
1,서울경기,2022-12-18,2.1,11.5,백령도,17.5,백령도
1,서울경기,2022-12-17,2.1,12.6,백령도,19.7,백령도
1,서울경기,2022-12-16,1.9,9.5,백령도,14.4,백령도
1,서울경기,2022-12-15,1.9,10.7,백령도,15.7,백령도
1,서울경기,2022-12-14,2.7,14.8,백령도,21.2,백령도
1,서울경기,2022-12-13,3.1,15.1,백령도,24.2,백령도
1,서울경기,2022-12-12,1.2,10.1,백령도,15.9,백령도
1,서울경기,2022-12-11,1.4,11.5,백령도,15.6,백령도
1,서울경기,2022-12-10,1.2,8.7,백령도,12.6,백령도
1,서울경기,2022-12-09,1.3,4.4,백령도,8,인천
1,서울경기,2022-12-08,1.1,5.9,백령도,8.6,백령도
1,서울경기,2022-12-07,2.1,10.1,백령도,16.1,백령도
1,서울경기,2022-12-06,1.5,10,백령도,16.3,백령도
1,서울경기,2022-12-05,1.9,7.5,백령도,11.8,백령도
1,서울경기,2022-12-04,2.6,13.3,백령도,18.3,백령도
1,서울경기,2022-12-03,1.8,12.5,백령도,18.5,백령도
1,서울경기,2022-12-02,1.4,8.3,백령도,12.6,백령도
1,서울경기,2022-12-01,1.9,10.4,백령도,15.1,백령도
1,서울경기,2022-11-30,3.5,15,백령도,21.6,백령도
1,서울경기,2022-11-29,3.2,17.1,백령도,23.2,백령도
1,서울경기,2022-11-28,2,10.2,백령도,13.6,백령도
1,서울경기,2022-11-27,1.4,8.8,백령도,13.6,백령도
1,서울경기,2022-11-26,2.3,10.4,백령도,15.5,백령도
1,서울경기,2022-11-25,2.4,9.2,백령도,15.5,강화
1,서울경기,2022-11-24,1,7,백령도,10.2,백령도
1,서울경기,2022-11-23,1.7,7.2,백령도,10.6,백령도
1,서울경기,2022-11-22,1.1,4.8,백령도,6.9,서울
1,서울경기,2022-11-21,1.1,5.8,백령도,8.9,백령도
1,서울경기,2022-11-20,1.1,3.4,인천,5.7,수원
1,서울경기,2022-11-19,1.4,6.2,백령도,9.6,백령도
1,서울경기,2022-11-18,1.1,4.1,인천,6.1,인천
1,서울경기,2022-11-17,1.2,4.9,백령도,7.6,백령도
1,서울경기,2022-11-16,1.2,6,백령도,9.1,백령도
1,서울경기,2022-11-15,1.4,7.6,백령도,13.7,인천
1,서울경기,2022-11-14,1.7,7.9,백령도,11.6,백령도
1,서울경기,2022-11-13,2.1,15.7,백령도,22.2,백령도
1,서울경기,2022-11-12,1.9,13.2,백령도,21,백령도
1,서울경기,2022-11-11,1.2,4.5,"백령도,인천",7.5,인천
1,서울경기,2022-11-10,0.9,4.4,백령도,6.4,백령도
1,서울경기,2022-11-09,0.9,4.2,백령도,6.8,백령도
1,서울경기,2022-11-08,1.1,4.2,백령도,6.4,서울
1,서울경기,2022-11-07,1.2,5.4,백령도,9.3,백령도
1,서울경기,2022-11-06,1.2,5,백령도,6.9,백령도
1,서울경기,2022-11-05,1.3,6.4,백령도,9.6,백령도
1,서울경기,2022-11-04,2.3,14.4,백령도,20.6,백령도
1,서울경기,2022-11-03,1.6,12.3,백령도,18.1,백령도
1,서울경기,2022-11-02,1.3,7.1,백령도,9.9,백령도
1,서울경기,2022-11-01,1.3,10,백령도,12.3,백령도
1,서울경기,2022-10-31,1.4,4.9,인천,7.6,백령도
1,서울경기,2022-10-30,1.2,4.8,백령도,7.5,백령도
1,서울경기,2022-10-29,1.1,4,파주,5.8,파주
1,서울경기,2022-10-28,1.1,5.7,백령도,9.1,백령도
1,서울경기,2022-10-27,1.3,9.1,백령도,13.3,백령도
1,서울경기,2022-10-26,1.2,5.3,백령도,7.1,백령도
1,서울경기,2022-10-25,1.4,5,백령도,7.7,백령도
1,서울경기,2022-10-24,2.3,10.7,백령도,17.6,백령도
1,서울경기,2022-10-23,2.2,10.7,백령도,14.5,백령도
1,서울경기,2022-10-22,1.3,11.9,백령도,15.8,백령도
1,서울경기,2022-10-21,1.1,5.1,백령도,7.3,백령도
1,서울경기,2022-10-20,1.1,4.6,백령도,7.9,백령도
1,서울경기,2022-10-19,1.3,5.7,백령도,10.2,강화
1,서울경기,2022-10-18,1.8,11.6,백령도,17.8,백령도
1,서울경기,2022-10-17,2.9,15.9,백령도,21.6,백령도
1,서울경기,2022-10-16,1.1,15.1,백령도,20.6,백령도
1,서울경기,2022-10-15,1,5.1,백령도,7,백령도
1,서울경기,2022-10-14,1,4.8,백령도,6.6,백령도
1,서울경기,2022-10-13,1.1,3.9,인천,5.7,인천
1,서울경기,2022-10-12,1.2,4.1,백령도,6.6,서울
1,서울경기,2022-10-11,1.9,11.9,백령도,17.3,백령도
1,서울경기,2022-10-10,3.5,13.7,백령도,20.5,백령도
1,서울경기,2022-10-09,1.8,12.1,백령도,18,백령도
1,서울경기,2022-10-08,1.5,4.2,서울,6.9,수원
1,서울경기,2022-10-07,2,10,백령도,15.4,백령도
1,서울경기,2022-10-06,1.5,9.7,백령도,13.8,백령도
1,서울경기,2022-10-05,1.5,9.9,백령도,14.7,백령도
1,서울경기,2022-10-04,2.5,16.3,백령도,23.2,백령도
1,서울경기,2022-10-03,2.4,10.9,인천,17.9,인천
1,서울경기,2022-10-02,1.8,10.7,백령도,17.2,백령도
1,서울경기,2022-10-01,1,3.1,강화,5,강화
1,서울경기,2022-09-30,1.1,3.7,백령도,5.6,백령도
1,서울경기,2022-09-29,1.1,3.8,인천,6,인천
1,서울경기,2022-09-28,1,4.1,인천,6.4,인천
1,서울경기,2022-09-27,1,5.1,백령도,6.7,백령도
